trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.99, 'e': 0.28470777327319546}",30,0,11.627464878743016,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.2818606955404635}",25,0,-1.4363367248016587,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.99, 'e': 0.27904208858505886}",30,13,-15.33922535879438,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.2762516676992083}",20,11,-6.925506402578755,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.99, 'e': 0.2734891510222162}",25,15,-31.18880552494523,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.99, 'e': 0.27075425951199406}",30,18,10.12471409381048,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.2680467169168741}",25,8,-27.774918884623414,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.99, 'e': 0.26536624974770534}",20,2,32.12675258145288,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.99, 'e': 0.2627125872502283}",25,2,12.77585815368993,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.26008546137772603}",20,15,-12.8921880197158,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.99, 'e': 0.25748460676394874}",20,1,-32.63961640092171,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.99, 'e': 0.2549097606963093}",25,14,12.834196674512608,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.2523606630893462}",30,0,-43.29390708485136,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.99, 'e': 0.2498370564584527}",25,7,14.98455902984209,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.99, 'e': 0.24733868589386818}",25,20,8.291204461158424,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
